accountsservice 22.08.8-2
openvpn 2.5.8-2
optipng 0.7.7-2
oxygen-icons 1:5.101.0-1
p7zip 1:17.04-3
pacman-contrib 1.8.0-1
pamixer 1.6-2
pandoc 2.19.2-38
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
peek 1.5.1-3
perl-image-exiftool 12.50-1
picom 10.2-1
pipewire-alsa 1:0.3.63-1
pipewire-pulse 1:0.3.63-1
pkgconf 1.8.0-1
plank 0.11.89-4
polkit-gnome 0.105-9
polybar 3.6.3-2
power-profiles-daemon 0.12-1
powerline-fonts 2.8.3-1
powertop 2.15-1
prettier 2.8.1-1
primecount 7.6-1
primesieve 11.0-1
protonvpn 1.0.0-3
pstoedit 3.78-1
pycharm-community-edition 2022.3-1
pyright 1.1.284-1
python-i3ipc 2.2.1-3
python-ipykernel 6.19.3-1
python-pip 22.3.1-1
python-tzlocal 1:4.2-1
qemu-desktop 7.2.0-1
qhull 2020.2-4
qpdf 11.2.0-1
qt5-quick3d 5.15.7+kde+r1-1
qt6-quick3d 6.4.1-1
quicklisp 20150128-1
r 4.2.2-1
r2ghidra 5.7.8-1
radare2 5.7.8-1
raylib 4.2.0-2
realtime-privileges 4-1
ripgrep 13.0.0-2
rlwrap 0.46.1-1
rmlint 2.10.1-3
rofi 1.7.5-1
rsync 3.2.7-2
ruby 3.0.4-20
rust 1:1.66.0-1
sassc 3.6.2-3
sbcl 2.2.11-1
screenfetch 3.9.1-1
scrot 1.7-1
sfml 2.5.1-3
shellcheck 0.8.0-247
slop 7.6-2
smartmontools 7.3-1
snes9x-gtk 1.61-1
socat 1.7.4.4-1
solid 5.101.0-1
steam 1.0.0.75-1
steam-native-runtime 1.0.0.75-1
sudo 1.9.12.p1-1
syndication 5.101.0-1
telegram-desktop 4.4.1-3
terminus-font 4.49.1-2
testdisk 7.1-4
texinfo 7.0.1-1
texlive-bibtexextra 2022.63023-1
texlive-core 2022.63035-1
texlive-fontsextra 2022.62977-1
texlive-formatsextra 2022.62529-1
texlive-games 2022.62102-1
texlive-humanities 2022.62929-1
texlive-latexextra 2022.63034-1
texlive-music 2022.62533-1
texlive-pictures 2022.62992-1
texlive-pstricks 2022.62977-1
texlive-publishers 2022.63013-1
texlive-science 2022.62977-1
the_silver_searcher 2.2.0-2
thunar 4.18.0-1
thunar-archive-plugin 0.5.0-2
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.18.0-1
thunderbird 102.6.0-1
tiled 1.9.2-1
timidity++ 2.15.0-9
tk 8.6.13-1
tmux 3.3_a-2
transmission-gtk 3.00-6
tre 0.8.0-6
tree 2.0.4-1
ttf-consolas-ligaturized 2-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-font-awesome 6.2.1-1
ttf-go-mono-git r333.ffcb3fe-1
ttf-hack 3.003-3
ttf-inconsolata 1:3.000-3
ttf-iosevka-nerd 2.2.2-1
ttf-meslo 1.2.1-3
ttf-ms-fonts 2.0-12
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
ttf-ubuntu-font-family 0.83-8
tumbler 4.18.0-1
typescript-language-server 2.2.0-1
unace 2.5-11
unarj 2.65-1
unixodbc 2.3.11-1
unrar 1:6.2.3-1
unzip 6.0-19
upx 4.0.1-1
vala-panel-appmenu-registrar-git 0.7.6.r21.g87abe53-1
vala-panel-appmenu-xfce-git 0.7.6.r21.g87abe53-1
valgrind 3.19.0-5
virt-manager 4.1.0-1
virt-viewer 11.0-2
visual-studio-code-bin 1.74.1-1
vkd3d 1.5-1
vulkan-tools 1.3.226-1
webkit2gtk 2.38.2-2
wget 1.21.3-1
which 2.21-5
wine 7.22-1
wine-gecko 2.47.3-1
wine-mono 7.4.0-1
winetricks 20220411-1
wireless_tools 30.pre9-3
wkhtmltopdf 0.12.6-1
wmctrl 1.07-6
wolframengine 13.1.0-1
wordnet-cli 3.1-4
xaos 4.2.1-2
xaw3d 1.6.4-1
xbindkeys 1.8.7-4
xclip 0.13-3
xcompmgr 1.1.9-1
xdg-desktop-portal 1.16.0-1
xdg-user-dirs 0.18-1
xdotool 3.20211022.1-1
xfce-theme-greybird 3.23.2-1
xfce4-appfinder 4.18.0-1
xfce4-clipman-plugin 1.6.2-1
xfce4-cpugraph-plugin 1.2.7-1
xfce4-docklike-plugin 0.4.0-2
xfce4-indicator-plugin 2.4.1-1
xfce4-panel 4.18.0-1
xfce4-panel-profiles 1.0.13-1
xfce4-places-plugin 1.8.3-1
xfce4-power-manager 4.18.0-1
xfce4-pulseaudio-plugin 0.4.5-1
xfce4-screenshooter 1.10.0-1
