acpi_call 1.2.2-29
texlive-music 2021.62509-1
texlive-pictures 2021.62760-1
texlive-pstricks 2021.61917-1
texlive-publishers 2021.62814-1
texlive-science 2021.62659-1
thunar 4.16.10-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
thunderbird 91.7.0-1
timidity++ 2.15.0-5
tint2 17.0.2-1
tk 8.6.12-1
tmux 3.2_a-1
transmission-gtk 3.00-3
tree 2.0.2-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-ms-fonts 2.0-12
tumbler 4.16.0-3
unace 2.5-11
unarj 2.65-1
ungoogled-chromium 99.0.4844.84-1
unixodbc 2.3.9-1
unrar 1:6.1.6-1
unzip 6.0-18
urxvt-perls 2.3-1
vala-panel-appmenu-registrar-git 0.7.6.r17.g7c11ae9-1
vala-panel-appmenu-xfce-git 0.7.6.r17.g7c11ae9-1
valgrind 3.18.1-4
vim 8.2.4464-1
vino 3.22.0+74+g7a95e10-1
visual-studio-code-bin 1.65.2-1
vkd3d 1.3-1
webkit2gtk 2.36.0-1
wget 1.21.3-1
which 2.21-5
wine-gecko 2.47.2-3
wine-mono 7.1.1-1
wine-staging 7.5-1
winetricks 20220328-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
xbindkeys 1.8.7-2
xdg-desktop-portal 1.14.1-1
xdg-desktop-portal-gtk 1.14.0-1
xdg-user-dirs 0.17-3
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdotool 3.20211022.1-1
xfce-theme-greybird 3.23.1-1
xfce4-appfinder 4.16.1-2
xfce4-cpufreq-plugin 1.2.7-1
xfce4-cpugraph-plugin 1.2.6-1
xfce4-eyes-plugin 4.5.1-1
xfce4-genmon-plugin 4.1.1-1
xfce4-mailwatch-plugin 1.3.0-1
xfce4-mpc-plugin 0.5.2-2
xfce4-notes-plugin 1.9.0-1
xfce4-panel 4.16.3-3
xfce4-power-manager 4.16.0-3
